a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;PackingEff;Q_total;BOR
125;125;625.01;1.679;0.7;0.75;1;1;5;60449600;1234.869629;0.7513497044;0.7656520106;3.620896665
125.58;125.58;627.89;1.687;0.7;0.8;1;1;5;60449600;1003.093018;0.741008137;0.7640060545;3.613112663
126.01;126.01;630.07;1.693;0.65;1;1;1;5;60449600;109.89;0.7334103888;0.7507865147;3.550595244
126.03;126.03;882.23;1.739;1;1;1;1;7;60449600;65.20791626;0.5236190254;0.910832012;4.307477221
126.08;126.08;630.42;1.694;0.75;0.7;1;1;5;60449600;1435.447632;0.7321887537;0.7736425002;3.65868503
126.15;126.15;630.73;1.695;0.7;0.85;1;1;5;60449600;778.772644;0.731016063;0.7624560628;3.605782492
126.71;126.71;633.53;1.702;0.7;0.9;1;1;5;60449600;547.7427368;0.7213729557;0.7609923053;3.598860138
126.71;126.71;633.55;1.702;0.75;0.75;1;1;5;60449600;1187.703003;0.7213502443;0.7722713933;3.652200835
127.26;127.26;636.29;1.709;0.7;0.95;1;1;5;60449600;309.9233093;0.712053756;0.7596238952;3.592388697
127.33;127.33;636.63;1.71;0.75;0.8;1;1;5;60449600;966.6435547;0.7108904441;0.7709921226;3.64615095
127.8;127.8;639.02;1.717;0.7;1;1;1;5;60449600;77.80272675;0.7030238981;0.758374325;3.586479271
127.86;127.86;639.32;1.718;0.8;0.7;1;1;5;60449600;1361.595825;0.7020323495;0.7807242541;3.69217583
127.93;127.93;639.67;1.719;0.75;0.85;1;1;5;60449600;750.7506714;0.7008798823;0.7697547808;3.640299353
128.53;128.53;642.65;1.727;0.8;0.75;1;1;5;60449600;1129.83252;0.6911324283;0.7797163797;3.687409424
128.53;128.53;642.66;1.727;0.75;0.9;1;1;5;60449600;528.5997925;0.6911217029;0.768651502;3.635081763
129.12;129.12;645.62;1.735;0.75;0.95;1;1;5;60449600;300.0437012;0.6816795948;0.7676539304;3.630364079
129.19;129.19;645.93;1.735;0.8;0.8;1;1;5;60449600;923.609375;0.6806249278;0.7787921854;3.683038754
129.19;645.93;129.19;1.735;0.8;0.8;1;5;1;60449600;1016.311584;0.6806249278;0.7789276067;3.683679184
129.71;129.71;648.54;1.742;0.75;1;1;1;5;60449600;67.47238159;0.6724613303;0.7668080749;3.626363887
129.76;129.76;648.79;1.743;0.85;0.7;1;1;5;60449600;1283.854614;0.6716805788;0.7886943323;3.729867666
129.83;129.83;649.17;1.744;0.8;0.85;1;1;5;60449600;718.7182007;0.6705631383;0.7779093525;3.678863689
130.46;130.46;652.32;1.753;0.85;0.75;1;1;5;60449600;1062.612061;0.6608895776;0.7879776831;3.726478512
130.47;130.47;652.37;1.753;0.8;0.9;1;1;5;60449600;506.9399109;0.6607391059;0.7771778668;3.675404371
131.1;131.1;655.52;1.761;0.8;0.95;1;1;5;60449600;289.1953125;0.6512643899;0.7765220337;3.672302826
131.16;131.16;655.81;1.762;0.85;0.8;1;1;5;60449600;874.3942871;0.6503788319;0.787415833;3.723821429
131.73;131.73;658.63;1.769;0.8;1;1;1;5;60449600;67.39482117;0.6420088464;0.7760245179;3.669949991
131.76;131.76;658.82;1.77;0.9;0.7;1;1;5;60449600;1043.626465;0.6415252453;0.7974130223;3.771099812
131.85;131.85;659.25;1.771;0.85;0.85;1;1;5;60449600;683.4138794;0.6402340273;0.7869358267;3.721551398
132.51;132.51;662.56;1.78;0.9;0.75;1;1;5;60449600;881.2449341;0.6307041587;0.797101108;3.769624717
132.53;132.53;662.65;1.78;0.85;0.9;1;1;5;60449600;482.9116821;0.6304309311;0.7865469631;3.719712397
133.2;133.2;666;1.789;0.85;0.95;1;1;5;60449600;276.9440613;0.6209654303;0.7862406765;3.718263917
133.25;133.25;666.26;1.79;0.9;0.8;1;1;5;60449600;720.3286743;0.6202540626;0.7968903887;3.76862819
133.86;133.86;669.32;1.798;0.85;1;1;1;5;60449600;67.30617523;0.6118060078;0.786045504;3.717340913
133.89;133.89;669.43;1.799;0.95;0.7;1;1;5;60449600;950.1514282;0.6114253618;0.807068855;3.816763863
133.98;133.98;669.91;1.8;0.9;0.85;1;1;5;60449600;559.2125854;0.6101688351;0.7967612391;3.76801742
134.42;134.42;672.12;1.806;1;0.6;1;1;5;60449600;1392.553101;0.604186787;0.8170058027;3.863757354
134.68;134.68;673.39;1.809;0.95;0.75;1;1;5;60449600;805.7312622;0.6007258911;0.807101459;3.816918053
134.7;134.7;673.51;1.809;0.9;0.9;1;1;5;60449600;395.0597534;0.6004431647;0.7967049302;3.767751126
135.28;135.28;676.4;1.817;1;0.65;1;1;5;60449600;1208.111084;0.5927599735;0.8171970947;3.864662006
135.41;135.41;677.07;1.819;0.9;0.95;1;1;5;60449600;230.0626373;0.5910345585;0.7967495751;3.767962259
135.46;135.46;677.3;1.82;0.95;0.8;1;1;5;60449600;659.6821289;0.5903946085;0.807230929;3.817530338
135.81;135.81;407.44;1.719;0.4;0.4;1;1;3;60449600;3597.05;0.9763887473;0.68549464;3.241819027
135.81;407.44;135.81;1.719;0.4;0.4;1;3;1;60449600;3648.52;0.9763887473;0.6869767435;3.248828143
136.12;136.12;680.59;1.828;0.9;1;1;1;5;60449600;84.48928833;0.5818648922;0.7969456491;3.768889526
136.13;136.13;680.63;1.829;1;0.7;1;1;5;60449600;1028.342773;0.5817371562;0.8175306886;3.866239627
136.23;136.23;681.16;1.83;0.95;0.85;1;1;5;60449600;513.8556519;0.5804346913;0.8074350908;3.818495854
136.96;136.96;684.81;1.84;1;0.75;1;1;5;60449600;857.1529541;0.5712011693;0.8179043263;3.868006623
136.99;136.99;684.97;1.84;0.95;0.9;1;1;5;60449600;364.5333252;0.5708213223;0.807719385;3.819840329
137.62;137.62;412.85;1.742;0.4;0.6;1;1;3;60449600;2218.527832;0.9384125044;0.6662821562;3.150959972
137.75;137.75;688.74;1.85;0.95;0.95;1;1;5;60449600;214.5918427;0.5614515984;0.8081562078;3.821906137
137.79;137.79;688.93;1.851;1;0.8;1;1;5;60449600;701.0109253;0.5609668017;0.8184155881;3.870424465
138.49;138.49;692.47;1.86;0.95;1;1;1;5;60449600;84.9021225;0.5524750632;0.8086358554;3.82417447
138.6;138.6;693.01;1.862;1;0.85;1;1;5;60449600;554.3128052;0.5511641183;0.8189611232;3.873004392
139.28;139.28;417.85;1.763;0.4;0.8;1;1;3;60449600;1053.072632;0.9052143627;0.6503366082;3.075550803
139.34;232.24;232.24;1.87;0.4;0.4;3;5;5;60449600;3398.015625;0.9763332086;0.6161073762;2.913675029
139.41;139.41;697.04;1.873;1;0.9;1;1;5;60449600;398.4050903;0.5416272543;0.8196454341;3.876240613
140.14;140.14;420.42;1.774;0.6;0.4;1;1;3;60449600;2887.665771;0.8886707888;0.6791537399;3.211831848
140.2;140.2;701.02;1.883;1;0.95;1;1;5;60449600;235.7690582;0.5325051481;0.8203484554;3.879565319
140.84;140.84;422.51;1.783;0.4;1;1;1;3;60449600;681.79;0.8755046215;0.6363216358;3.00927165
140.99;140.99;704.96;1.894;1;1;1;1;5;60449600;66.67876434;0.5236083036;0.82121823;3.883678628
140.99;704.96;140.99;1.894;1;1;1;5;1;60449600;70.536;0.5236083036;0.8212562396;3.883858382
142.73;142.73;428.19;1.807;0.6;0.6;1;1;3;60449600;1639.167725;0.8411625836;0.6667112029;3.152989005
142.73;428.19;142.73;1.807;0.6;0.6;1;3;1;60449600;1676.16;0.8411625836;0.6670868679;3.154765588
143.35;143.35;430.05;1.815;0.6;0.65;1;1;3;60449600;1424.878418;0.8302934254;0.6641336698;3.140799419
143.96;143.96;431.87;1.822;0.6;0.7;1;1;3;60449600;1226.915161;0.8198119135;0.6616516328;3.12906145
144.35;144.35;433.04;1.827;0.65;0.6;1;1;3;60449600;1506.870483;0.8131841459;0.6690968417;3.164271091
144.56;144.56;433.67;1.83;0.6;0.75;1;1;3;60449600;1030.367554;0.8096409458;0.6592810359;3.117850501
145.01;145.01;435.04;1.836;0.65;0.65;1;1;3;60449600;1319.275269;0.802086146;0.6668393633;3.153595097
145.15;145.15;435.44;1.837;0.6;0.8;1;1;3;60449600;836.8668823;0.7998139185;0.6569820962;3.106978429
145.67;145.67;437.01;1.844;0.65;0.7;1;1;3;60449600;1135.522827;0.7912557959;0.6647367335;3.143651409
145.73;145.73;437.19;1.845;0.6;0.85;1;1;3;60449600;646.0342407;0.7902758616;0.6547736757;3.096534439
146.09;146.09;438.28;1.849;0.7;0.6;1;1;3;60449600;1380.996338;0.7844370574;0.6722581787;3.179221583
146.3;146.3;438.9;1.852;0.6;0.9;1;1;3;60449600;454.4163513;0.7810774782;0.6526155535;3.086328317
146.32;146.32;438.95;1.852;0.65;0.75;1;1;3;60449600;954.4154663;0.7807780621;0.6627230241;3.134128239
146.44;244.06;244.06;1.965;0.6;0.6;3;5;5;60449600;1304.77;0.8411945112;0.5946720929;2.812303982
146.61;146.61;439.84;1.856;0.8;0.4;1;1;3;60449600;1802.233887;0.7761147951;0.6879004415;3.253196465
146.81;146.81;440.43;1.858;0.7;0.65;1;1;3;60449600;1210.183716;0.7729711593;0.67041081;3.170485067
146.87;146.87;440.6;1.859;0.6;0.95;1;1;3;60449600;262.9981995;0.7720387434;0.6506021812;3.076806742
146.95;146.95;440.86;1.86;0.65;0.8;1;1;3;60449600;775.7555542;0.7707438522;0.6607376166;3.124738915
147.42;147.42;442.26;1.866;0.6;1;1;1;3;60449600;226.95;0.7634121768;0.6486062016;3.06736742
147.51;147.51;442.54;1.867;0.7;0.7;1;1;3;60449600;1042.21814;0.7620002034;0.6686126783;3.161981401
147.58;147.58;442.74;1.868;0.65;0.85;1;1;3;60449600;599.7954712;0.7609321902;0.6588682684;3.115898454
147.97;147.97;443.92;1.873;0.75;0.6;1;1;3;60449600;1250.739746;0.7549136546;0.6762899237;3.198288381
148.2;148.2;444.59;1.876;0.65;0.9;1;1;3;60449600;422.986145;0.7514369755;0.6570664342;3.107377278
148.21;148.21;444.62;1.876;0.7;0.75;1;1;3;60449600;876.9040527;0.7512863625;0.6669488832;3.154113035
148.74;148.74;446.21;1.883;0.75;0.65;1;1;3;60449600;1097.561279;0.74328043;0.674783264;3.191163135
148.81;148.81;446.42;1.884;0.65;0.95;1;1;3;60449600;246.6893768;0.7422306918;0.655347859;3.099249848
148.89;148.89;446.67;1.885;0.7;0.8;1;1;3;60449600;713.793396;0.7410185299;0.665311649;3.14637028
149.41;149.41;448.22;1.891;0.65;1;1;1;3;60449600;167.1245117;0.7333312985;0.6536988569;3.091451441
149.49;149.49;448.47;1.892;0.75;0.7;1;1;3;60449600;947.6694336;0.7321384711;0.673331888;3.184299335
149.56;149.56;448.69;1.893;0.7;0.85;1;1;3;60449600;553.4389648;0.7310934308;0.6637359721;3.13891864
149.99;149.99;449.96;1.899;0.8;0.6;1;1;3;60449600;1117.893311;0.7248495305;0.6811756592;3.221393843
150.23;150.23;450.68;1.902;0.7;0.9;1;1;3;60449600;391.7208252;0.7213815284;0.6622784648;3.132025844
150.23;150.23;450.69;1.902;0.75;0.75;1;1;3;60449600;799.1314087;0.7213655896;0.6719586148;3.177804895
150.8;150.8;452.4;1.909;0.8;0.65;1;1;3;60449600;984.717041;0.7132188907;0.6799572916;3.215631978
150.88;150.88;452.65;1.91;0.7;0.95;1;1;3;60449600;230.7058868;0.7120694708;0.6608512186;3.125276157
150.96;150.96;452.88;1.911;0.75;0.8;1;1;3;60449600;652.6397095;0.7109537834;0.670651508;3.171623369
151.53;151.53;454.58;1.918;0.7;1;1;1;3;60449600;121.4305801;0.7029785938;0.6595308311;3.119031824
151.6;151.6;454.8;1.919;0.8;0.7;1;1;3;60449600;853.0565186;0.7019886652;0.6788329005;3.210314544
151.68;151.68;455.05;1.92;0.75;0.85;1;1;3;60449600;507.7269287;0.7008633068;0.6694235398;3.165816101
152.13;152.13;456.4;1.926;0.85;0.6;1;1;3;60449600;984.7830811;0.6946590771;0.6867999016;3.247991828
152.39;152.39;457.17;1.929;0.8;0.75;1;1;3;60449600;722.4871216;0.6911276957;0.6777925986;3.205394783
152.39;152.39;457.18;1.929;0.75;0.9;1;1;3;60449600;361.401123;0.691112642;0.668247276;3.160253353
152.99;152.99;458.98;1.937;0.85;0.65;1;1;3;60449600;871.7930908;0.6830091084;0.6858979458;3.243726328
153.09;153.09;459.28;1.938;0.75;0.95;1;1;3;60449600;215.1871796;0.6816742793;0.6671389791;3.155012031
153.17;153.17;459.5;1.939;0.8;0.8;1;1;3;60449600;592.4876709;0.6806363685;0.6768096939;3.200746461
153.17;459.5;153.17;1.939;0.8;0.8;1;3;1;60449600;606.122;0.6806363685;0.6769106783;3.201224034
153.78;153.78;461.35;1.947;0.75;1;1;1;3;60449600;86.95101929;0.6725369066;0.6661045104;3.150119855
153.84;153.84;461.53;1.948;0.85;0.7;1;1;3;60449600;759.1800537;0.6717478985;0.6851023417;3.239963783
153.94;153.94;461.81;1.949;0.8;0.85;1;1;3;60449600;463.1496277;0.6704712367;0.6759046358;3.19646629
154.41;154.41;463.24;1.955;0.9;0.6;1;1;3;60449600;851.5791626;0.6643383261;0.6932488044;3.27848977
154.68;154.68;464.05;1.958;0.85;0.75;1;1;3;60449600;646.9306641;0.660869659;0.6843837243;3.236565321
154.69;154.69;464.08;1.958;0.8;0.9;1;1;3;60449600;332.0745239;0.6607427489;0.6749992187;3.192184421
155.18;155.18;465.54;1.964;1;0.4;1;1;3;60449600;1080.288696;0.6545193736;0.7100865674;3.358118373
155.32;155.32;465.97;1.966;0.9;0.65;1;1;3;60449600;760.0773315;0.6527349248;0.6926589276;3.275700144
