Element,IntegrationPoint,X,Y,S11,S22,S33,S12
656,1,74.242004,88.54329,3.709298,0.49376953,3.5909085,-1.411343
657,1,73.77673,88.71775,3.7201407,0.4865704,3.6033556,-1.4037886
658,1,73.311,88.890945,3.7309039,0.47941184,3.6157057,-1.3961866
659,1,72.84479,89.06288,3.741597,0.47233075,3.627975,-1.3885602
660,1,72.37812,89.23357,3.7521749,0.46530718,3.6401415,-1.3808842
661,1,71.910995,89.40299,3.762713,0.45829755,3.6522164,-1.3731531
662,1,71.44342,89.57117,3.7731647,0.4513777,3.6642094,-1.3654094
663,1,70.975395,89.73809,3.7835078,0.44449517,3.6760955,-1.3576201
664,1,70.50693,89.90376,3.7938051,0.4376691,3.6879025,-1.3497835
665,1,70.03802,90.0682,3.8039935,0.43090004,3.6996095,-1.3419255
666,1,69.56868,90.231384,3.8141284,0.42416403,3.7112272,-1.3340166
667,1,69.09891,90.393326,3.8241673,0.41750917,3.7227576,-1.3260857
668,1,68.628716,90.55403,3.8341165,0.410881,3.7341845,-1.3181043
669,1,68.1581,90.7135,3.8440235,0.40430588,3.7455332,-1.3100911
670,1,67.687065,90.871735,3.8538065,0.39781108,3.7567854,-1.3020614
671,1,67.21562,91.02874,3.863534,0.39133626,3.767944,-1.2939744
672,1,66.74377,91.18451,3.8731892,0.38492778,3.779019,-1.2858583
673,1,66.27151,91.33905,3.8827376,0.37858108,3.7899976,-1.2777255
674,1,65.79884,91.49237,3.8922396,0.37225756,3.800887,-1.2695391
675,1,65.32579,91.64446,3.9016454,0.36601233,3.8116896,-1.2613292
676,1,64.85235,91.79533,3.9109645,0.35980406,3.8223944,-1.2530866
677,1,64.37852,91.94498,3.9202304,0.35364857,3.833018,-1.244808
678,1,63.904305,92.09341,3.9293935,0.34754828,3.8435452,-1.2365065
679,1,63.42971,92.240616,3.9384909,0.34149933,3.8539872,-1.2281677
680,1,62.954742,92.38662,3.9475133,0.3355059,3.8643425,-1.2198095
681,1,62.479404,92.5314,3.9564416,0.32956448,3.8746033,-1.2114089
682,1,62.003696,92.67498,3.965317,0.3236586,3.8847785,-1.2029809
683,1,61.527626,92.817345,3.9741037,0.31781632,3.894865,-1.1945244
684,1,61.051197,92.9585,3.982801,0.31202185,3.904858,-1.1860427
685,1,60.57441,93.09846,3.9914412,0.30627787,3.9147694,-1.1775296
686,1,60.097275,93.237206,3.9999864,0.300583,3.924586,-1.1689912
687,1,59.61979,93.374756,4.0084777,0.29493338,3.9343204,-1.1604207
688,1,59.141964,93.51111,4.0168715,0.28935626,3.9439676,-1.151831
689,1,58.663795,93.646255,4.02519,0.28381357,3.953522,-1.1432034
690,1,58.18529,93.78021,4.0334477,0.2783221,3.9629946,-1.1345493
691,1,57.706455,93.91298,4.0416164,0.2728735,3.972373,-1.1258779
692,1,57.22729,94.04455,4.049713,0.2674886,3.9816704,-1.1171821
693,1,56.7478,94.17493,4.0577316,0.2621468,3.9908774,-1.1084616
694,1,56.267982,94.30412,4.065674,0.2568514,3.9999964,-1.099697
695,1,55.787853,94.43212,4.073556,0.25161198,4.009036,-1.0909345
696,1,55.307407,94.558945,4.0813503,0.2464288,4.0179873,-1.0821352
697,1,54.826653,94.68458,4.089057,0.24129081,4.026847,-1.0733004
698,1,54.34559,94.80903,4.0967226,0.23619327,4.035629,-1.0644497
699,1,53.86422,94.932304,4.1042795,0.23115258,4.0443153,-1.0555812
700,1,53.382553,95.0544,4.1117783,0.22615469,4.05292,-1.0466892
701,1,52.90059,95.175316,4.1191998,0.22121115,4.0614395,-1.0377709
702,1,52.41833,95.29505,4.126537,0.21631972,4.0698714,-1.0288335
703,1,51.93578,95.41362,4.133818,0.21147862,4.0782247,-1.019877
704,1,51.452946,95.53101,4.1410127,0.20668246,4.086488,-1.0108858
705,1,50.96983,95.64724,4.1481295,0.20193695,4.0946646,-1.0018721
706,1,50.48643,95.7623,4.155195,0.19723423,4.1027627,-0.9928541
707,1,50.002758,95.87618,4.162156,0.19258825,4.1107683,-0.98380196
708,1,49.518814,95.9889,4.1690516,0.18798494,4.1186905,-0.97473186
709,1,49.034595,96.10046,4.1758976,0.183425,4.126535,-0.96564335
710,1,48.55011,96.21085,4.182633,0.17892972,4.134288,-0.95654005
711,1,48.065365,96.32008,4.189331,0.17447089,4.141965,-0.9474131
712,1,47.580357,96.428154,4.1959343,0.1700749,4.149556,-0.93826073
713,1,47.095093,96.535065,4.2024674,0.16571292,4.1570597,-0.92909217
714,1,46.609577,96.640816,4.2089534,0.16140018,4.164489,-0.9199052
715,1,46.12381,96.745415,4.215328,0.15714894,4.1718264,-0.9107113
716,1,45.637794,96.84886,4.2216516,0.15292703,4.1790814,-0.9014787
717,1,45.151535,96.95115,4.2279124,0.14876033,4.1862593,-0.89224035
718,1,44.665035,97.05229,4.234078,0.14464967,4.193349,-0.8829911
719,1,44.1783,97.152275,4.240179,0.14057845,4.200356,-0.8737009
720,1,43.691326,97.251114,4.2462077,0.13655657,4.2072816,-0.8644048
721,1,43.204124,97.3488,4.25217,0.13257585,4.2141237,-0.8551025
722,1,42.71669,97.44534,4.25806,0.12864004,4.2208824,-0.84576964
723,1,42.229034,97.54074,4.263869,0.12477328,4.227564,-0.83643734
724,1,41.741154,97.634995,4.26962,0.120942704,4.2341638,-0.82708335
725,1,41.25305,97.72811,4.275294,0.11716079,4.2406807,-0.8176913
726,1,40.764736,97.820076,4.280896,0.113426104,4.247116,-0.8083033
727,1,40.27621,97.910904,4.2864375,0.109727755,4.253469,-0.79889566
728,1,39.787468,98.00059,4.291896,0.10608892,4.259741,-0.7894775
729,1,39.29852,98.08914,4.297278,0.10249335,4.2659287,-0.780039
730,1,38.80937,98.17656,4.302603,0.098942496,4.27204,-0.7705823
731,1,38.320015,98.26283,4.3078456,0.095446005,4.278068,-0.76112616
732,1,37.830463,98.34798,4.3130217,0.09197962,4.2840114,-0.7516375
733,1,37.340714,98.431984,4.31814,0.08857371,4.2898827,-0.7421454
734,1,36.850773,98.51486,4.323167,0.08521657,4.295667,-0.7326464
735,1,36.36064,98.59661,4.328136,0.081900164,4.3013735,-0.7231133
736,1,35.870323,98.67722,4.3330483,0.07863057,4.3070045,-0.7135852
737,1,35.37982,98.75671,4.3378716,0.07541336,4.3125505,-0.70403814
738,1,34.889137,98.83507,4.342624,0.0722388,4.3180156,-0.69447035
