a_mm;b_mm;c_mm;t_mm;n1;n2;Q_total;h_eq;T3;T2;T1
94.99;474.93;284.96;1.833;0.95;0.9;0.8274382892138411;2.8726559838414232e-09;299.9517076041442;299.95167568927945;20.000033150032486
95.51;477.55;286.53;1.843;0.95;0.95;0.8304417546597455;2.872577128486846e-09;299.9516426635575;299.95161071045266;20.000033326705402
95.54;477.68;286.61;1.843;1.0;0.8;0.8327446043347002;2.8723476163425217e-09;299.9517424506153;299.9517105566371;20.000033331765554
96.03;480.13;288.08;1.853;0.95;1.0;0.8335279479006371;2.8724855102709673e-09;299.9515785152553;299.9515465243916;20.000033503205568
96.1;480.5;288.3;1.854;1.0;0.85;0.8358907839680801;2.872272546840347e-09;299.95167645172097;299.95164451887354;20.000033526616747
96.66;483.3;289.98;1.865;1.0;0.9;0.8391825269400753;2.872180711884861e-09;299.95161086961235;299.95157889815613;20.000033721206822
97.21;486.06;291.64;1.875;1.0;0.95;0.8425364702894281;2.8720783899397175e-09;299.95154598256397;299.9515139729217;20.000033897370077
97.76;293.27;488.79;1.886;1.0;1.0;0.8459690074242966;2.8719654135947797e-09;299.95148186147065;299.95144981410755;20.000034091635275
97.76;488.79;293.27;1.886;1.0;1.0;0.8459746968054709;2.871964834458207e-09;299.95148191757403;299.95144987024423;20.00003409163277
98.96;296.89;296.89;1.755;0.6;0.6;0.6908949096124712;2.8615419585927855e-09;299.9531730374672;299.9531419855176;20.00003170862177
102.22;102.22;919.94;1.432;0.6;1.0;0.8884452371165084;2.89741503165954e-09;299.95398517953384;299.9539546292945;20.000026183800976
103.59;103.59;932.33;1.451;0.65;1.0;0.8973865728384667;2.8966260598737486e-09;299.95388368903906;299.95385307880343;20.000026522611105
105.06;105.06;945.57;1.471;0.7;1.0;0.9073016382208239;2.8957681517448834e-09;299.9537796812113;299.95374900951526;20.000026878759492
106.2;318.6;318.6;1.884;0.8;0.8;0.7057965430825024;2.8639224799055455e-09;299.9525366011992;299.95250517234007;20.00003404755548
106.63;106.63;959.65;1.493;0.75;1.0;0.9181809075917516;2.8948483148414384e-09;299.9536733600625;299.95364262556075;20.000027270760036
108.29;108.29;974.6;1.517;0.8;1.0;0.9299578740782739;2.893879949480701e-09;299.9535654410718;299.9535346428442;20.00002769869993
110.04;110.04;990.4;1.541;0.85;1.0;0.9425845017558013;2.8928721521493304e-09;299.95345623482285;299.9534253721315;20.00002812564504
111.15;111.15;778.03;1.533;0.6;1.0;0.8221768451302466;2.8980976151786594e-09;299.95362314456355;299.95359237408206;20.000028040259085
111.9;111.9;1007.09;1.567;0.9;1.0;0.9562699313055254;2.8918130245049286e-09;299.95334496494235;299.9533140365861;20.000028588339497
